0,0,7,9,5,6,19,24,0000219F
0,0,7,9,5,13,19,24,0000319F
0,0,7,9,5,15,19,24,0000519F
0,0,7,12,3,10,19,27,0000619F
0,0,7,9,4,13,19,24,0000719F
0,0,7,9,6,15,19,24,0001119F
0,0,7,0,4,14,19,15,0001219F
0,0,7,16,3,12,19,31,0002019F
0,0,7,16,3,19,19,31,0002619F
0,0,7,12,9,12,19,27,0002719F
0,0,7,16,5,17,19,31,0003419F
0,0,7,9,6,18,19,24,0003619F
0,0,7,9,3,20,19,24,0003719F
0,0,7,16,5,16,19,31,0005019F
0,0,7,16,8,15,19,31,0005219F
0,0,7,10,9,19,19,25,0005319F
0,0,5,0,0,1,9,15,0006009F
0,0,7,0,5,19,19,15,0006119F
0,0,7,10,7,8,19,25,0006419F
0,0,7,16,3,9,19,31,0006619F
0,0,7,16,3,6,19,31,0007119F
0,0,7,10,4,20,19,25,0007219F
0,0,7,6,5,10,19,21,0007819F
0,0,7,16,3,19,19,31,0007919F
0,0,7,10,6,7,19,25,0008419F
0,0,7,9,6,13,19,24,0008519F
0,0,7,6,8,17,19,21,0009119F
0,0,7,16,5,20,19,31,0009919F
0,0,7,8,4,15,19,23,0010019F
0,0,4,10,7,17,8,25,0010108F
0,0,7,0,5,20,19,15,0010119F
0,0,4,10,7,12,8,25,0010408F
0,0,7,12,4,13,19,27,0010419F
0,0,7,0,5,15,19,15,0010519F
0,0,7,0,8,13,19,15,0010619F
0,0,4,12,8,11,8,27,0010708F
0,0,5,19,2,3,9,34,0010809F
0,0,7,12,6,14,19,27,0010819F
0,0,4,0,7,15,8,15,0010908F
0,0,7,12,6,14,19,27,0010919F
0,0,5,12,1,9,9,27,0011309F
0,0,7,12,3,20,19,27,0011319F
0,0,7,12,3,20,19,27,0011619F
0,0,4,12,9,18,8,27,0011708F
0,0,7,12,3,20,19,27,0011819F
0,0,7,12,4,16,19,27,0011919F
0,0,4,0,7,12,8,15,0012108F
0,0,4,10,8,14,8,25,0012308F
0,0,7,0,6,16,19,15,0012319F
0,0,4,9,7,18,8,24,0012408F
0,0,5,16,0,1,9,31,0012409F
0,0,7,9,5,20,19,24,0012519F
0,0,4,10,7,8,8,25,0012608F
0,0,4,6,8,20,8,21,0012808F
0,0,7,12,7,18,19,27,0012819F
0,0,4,0,7,13,8,15,0013008F
0,0,7,0,4,13,19,15,0013019F
0,0,4,12,7,14,8,27,0013108F
0,0,7,0,4,20,19,15,0013119F
0,0,4,12,7,14,8,27,0013208F
0,0,7,9,7,19,19,24,0013319F
0,0,7,0,5,6,19,15,0013419F
0,0,7,6,3,20,19,21,0013519F
0,0,7,0,6,7,19,15,0013619F
0,0,7,9,3,19,19,24,0013819F
0,0,7,12,5,19,19,27,0013919F
0,0,7,8,3,7,19,23,0014019F
0,0,4,0,7,20,8,15,0014108F
0,0,7,0,3,20,19,15,0014119F
0,0,7,12,4,20,19,27,0014219F
0,0,4,0,7,17,8,15,0014308F
0,0,7,10,4,20,19,25,0014619F
0,0,7,10,5,11,19,25,0014719F
0,0,4,16,7,18,8,31,0015008F
0,0,7,6,5,13,19,21,0015019F
0,0,4,0,7,19,8,15,0015108F
0,0,7,12,3,20,19,27,0015319F
0,0,7,0,4,18,19,15,0015419F
0,0,4,10,7,8,8,25,0015508F
0,0,7,9,4,19,19,24,0015619F
0,0,7,9,3,6,19,24,0015919F
0,0,7,12,6,15,19,27,0016319F
0,0,7,0,7,17,19,15,0016619F
0,0,7,0,3,19,19,15,0016819F
0,0,4,0,8,19,8,15,0017008F
0,0,7,8,4,5,19,23,0017019F
0,0,4,19,7,20,8,34,0017208F
0,0,4,9,8,20,8,24,0017408F
0,0,4,6,7,20,8,21,0017608F
0,0,7,6,3,20,19,21,0017619F
0,0,7,0,3,14,19,15,0017719F
0,0,4,12,9,11,8,27,0017808F
0,0,7,0,4,17,19,15,0017919F
0,0,5,19,8,9,9,34,0018009F
0,0,4,9,8,20,8,24,0018108F
0,0,4,10,8,10,8,25,0018508F
0,0,7,12,8,9,19,27,0018519F
0,0,7,16,5,12,19,31,0018819F
0,0,7,0,3,20,19,15,0018919F
0,0,7,9,3,20,19,24,0019319F
0,0,7,0,9,11,19,15,0019519F
0,0,7,0,3,13,19,15,0019619F
0,0,4,9,7,20,8,24,0019708F
0,0,4,9,7,17,8,24,0019808F
0,0,7,8,4,19,19,23,0020319F
0,0,7,10,3,17,19,25,0020519F
0,0,7,0,4,5,19,15,0020819F
0,0,7,12,3,17,19,27,0021119F
0,0,7,10,6,7,19,25,0021619F
0,0,7,6,5,18,19,21,0022019F
0,0,7,0,7,16,19,15,0022119F
0,0,7,0,3,20,19,15,0022219F
0,0,7,6,3,16,19,21,0022319F
0,0,7,0,8,20,19,15,0022719F
0,0,7,0,4,10,19,15,0022919F
0,0,7,0,8,15,19,15,0023019F
0,0,5,12,5,14,9,27,0023309F
0,0,5,9,3,6,9,24,0023509F
0,0,7,0,5,18,19,15,0023519F
0,0,4,0,8,20,8,15,0023608F
0,0,7,8,3,20,19,23,0023719F
0,0,7,0,6,7,19,15,0023919F
0,0,7,0,3,19,19,15,0024019F
0,0,7,0,8,16,19,15,0024419F
0,0,7,0,3,15,19,15,0024619F
0,0,7,0,7,8,19,15,0024819F
0,0,7,0,3,17,19,15,0024919F
0,0,7,0,3,20,19,15,0025019F
0,0,7,0,5,12,19,15,0025119F
0,0,7,0,7,20,19,15,0025319F
0,0,5,16,5,20,9,31,0025509F
0,0,7,9,3,20,19,24,0025819F
0,0,7,0,3,19,19,15,0026119F
0,0,7,0,4,19,19,15,0026219F
0,0,7,10,8,18,19,25,0026319F
