1,0,3,19,8,17,6,34,0000106F
1,0,3,9,8,19,6,24,0000306F
1,0,3,10,8,19,6,25,0000406F
1,0,3,9,8,19,6,24,0000706F
1,0,1,6,7,17,3,21,0000803F
1,0,1,6,2,17,3,21,0000903F
1,0,13,9,5,19,27,24,0000927F
1,0,3,16,8,15,6,31,0001406F
1,0,3,9,8,13,6,24,0001606F
1,0,3,9,8,19,6,24,0001806F
1,0,3,9,8,20,6,24,0002106F
1,0,1,8,0,6,3,23,0002503F
1,0,1,12,2,3,3,27,0002803F
1,0,1,6,2,15,3,21,0003003F
1,0,3,9,8,20,6,24,0003006F
1,0,3,6,8,20,6,21,0003106F
1,0,1,9,1,20,3,24,0003203F
1,0,1,9,1,20,3,24,0003303F
1,0,1,9,0,10,3,24,0003503F
1,0,1,9,3,20,3,24,0003603F
1,0,1,0,2,14,3,15,0003703F
1,0,3,9,8,19,6,24,0003706F
1,0,13,0,8,9,27,15,0004027F
1,0,1,12,6,7,3,27,0004103F
1,0,1,12,2,3,3,27,0004203F
1,0,14,16,8,9,28,31,0004228F
1,0,15,9,0,14,29,24,0004229F
1,0,1,12,2,12,3,27,0004303F
1,0,3,0,8,17,6,15,0004406F
1,0,1,12,1,14,3,27,0004503F
1,0,3,9,8,20,6,24,0004506F
1,0,3,16,9,20,6,31,0004606F
1,0,12,10,8,13,24,25,0004624F
1,0,1,12,1,17,3,27,0004803F
1,0,15,9,0,6,29,24,0004929F
1,0,1,12,2,19,3,27,0005003F
1,0,1,12,2,19,3,27,0005103F
1,0,1,12,3,7,3,27,0005203F
1,0,12,12,7,15,24,27,0005224F
1,0,1,12,2,20,3,27,0005303F
1,0,15,19,4,18,29,34,0005529F
1,0,1,12,4,20,3,27,0005803F
1,0,14,16,7,14,28,31,0005828F
1,0,1,12,2,16,3,27,0005903F
1,0,3,9,8,17,6,24,0006106F
1,0,17,12,4,10,33,27,0006133F
1,0,3,16,8,20,6,31,0006206F
1,0,3,9,8,15,6,24,0006406F
1,0,15,9,3,20,29,24,0006429F
1,0,17,12,0,15,33,27,0006433F
1,0,3,8,9,18,6,23,0006506F
1,0,14,19,0,14,28,34,0006528F
1,0,1,12,6,17,3,27,0006603F
1,0,15,8,0,13,29,23,0006629F
1,0,15,9,2,20,29,24,0006729F
1,0,3,8,8,10,6,23,0006806F
1,0,14,16,4,13,28,31,0006828F
1,0,17,12,0,17,33,27,0006833F
1,0,3,16,8,15,6,31,0006906F
1,0,3,9,8,19,6,24,0007006F
1,0,15,9,0,4,29,24,0007029F
1,0,15,10,2,20,29,25,0007229F
1,0,3,12,8,20,6,27,0007406F
1,0,14,16,7,12,28,31,0007528F
1,0,3,16,8,20,6,31,0007706F
1,0,15,9,0,12,29,24,0007929F
1,0,1,16,2,17,3,31,0008003F
1,0,3,16,9,20,6,31,0008006F
1,0,14,17,7,14,28,32,0008028F
1,0,14,16,3,14,28,31,0008128F
1,0,1,17,1,20,3,32,0008303F
1,0,3,0,8,17,6,15,0008306F
1,0,14,16,1,11,28,31,0008328F
